Series Name,Series Code,Country Name,Country Code,1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Bangladesh,BGD,6530064193.2,7913829647.5,9737967442,10275887393.3,10701050528.9,12291780361.5,12997665568.6,13427954471.8,14125214056.8,15490545904.5,15734744113.2,15169074222.9,14257776105.5,15507392996.3,16449663349.3,15600564697.1,14978802400.8,16687587182.1,18440377575.4,19714073691.8,18503086016.3,20160932717.1,21523544177.4,23346917708.3,25377795050.4,26571755072,27046084648.2,29155976742.1,32453648016.8,35268110354.7,38695175144.2,41553573897.7,51041371464.6,57088996320.6,62427379028.8,73507191817.1,91429305071.6
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Belarus,BLR,..,..,..,..,..,..,..,..,968283686.2,1296124124.3,1693743257.4,1958924253.1,2082345263,2386480834.1,2703253741.5,2620196263.4,2798732256.7,3399007710,3779551001.2,4601438650.3,5300175946.7,6562099699.5,12526106963.9,15152844791,22078685409.7,28412146648.8,33932546340.5,33755733316,39573469218.4,40013829087.7,38257921211.1,37515947697.5,39584221158.1,38767563257,40734118642.4,41792363746.1,41653683788.2
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Belize,BLZ,118125320.2,121873478.7,137196602.4,132277165.4,137214241,142750749.7,161781662.7,180961169,194553505.8,198665305,255157967.5,281542136.1,450090458.6,333460184.2,416579339.1,629903800.8,721979991.7,849529037.9,1061730342.3,965854392.5,1023162269.1,1054232125.7,1075497698.7,1275782808,1291168230.7,1303876871.3,1274688747.1,1196357127.5,1248681027.9,1286357300.3,1279832151.2,1290298702.5,1338924309.2,1348898447.4,1377529086.7,1526004210.8,1450204243.3
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Benin,BEN,902878842.8,1038615913.2,1244496821.6,1170205810,1070152454.6,1110830135.6,1149708001.3,1198996389.7,1270610521.6,1382104403.8,1396447482.6,1377472571.8,1411114792.3,1445070720.3,1498651602.2,1408369540.8,1478686367.1,1617365355.1,1483862655.7,1618065354.6,1557801170.5,660190318.4,902675890.4,998180197.5,1325336572.4,1596498354.5,1864410779.1,1673174365.2,1997570045.4,2041339868.7,2170545281.2,2258154533.2,2798768709.4,3589620963.8,3919943010.2,5304192102.3,6863789220
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Bhutan,BTN,8833074.5,20953606.6,40242793.9,67083431.5,73855715.5,83545689.9,86339685.4,89198882.7,96619573,104507960.6,105769087.6,113040448.6,119619860,171042023.7,192034098.7,211571982.8,272712510.2,386049931.1,493626169.2,601316819.9,656602174.2,721112613.6,801238273.2,693075804.2,786548880.3,934629272.1,1070492249.6,1449649027.4,1528150561,1841155641.3,2011104022.8,2289670352.4,2607950876.9,2551977085,2703804731.6,3036756638.4,3069446354.6
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Bolivia,BOL,4898177366.7,5670015389.5,5934538201.2,4997498695.1,4229853023.5,4369976028,4158857030.9,4332374230.3,4400366539,4965186858.3,5359275052.5,5275484513.9,5313085255.3,5688227905.2,5655151008.4,5892765188.4,4794042371.9,5107005795.5,5864138345.8,6284467791.5,6967641266.1,6255767963.5,5064781761.7,5701040187.5,5780325836.3,5776504655.7,6181999152.8,6617099947.7,8141786767.5,8884014490.4,9895204080.3,10994252972.4,12990057752.2,13248377783.1,14301150537.3,15420129053.6,15964123524
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2408825764.2,2791207814.6,2666165629,3166667572.8,4484507657.9,5517180308.8,7007652582.9,8616906730.2,11568599660.6,13108605424.7,14005774333.2,14289296947.8,12345114956.9,12998206080.9,13780032960.1,13082372491.1,11614129610,11630871769.5,13028529320.1,12935844519.7,12702643573.9,13865863814.9,12986165818.1
